широта;довгота;станція метро
50.4761;30.4306;Сирець
50.4736;30.4494;Дорогожичі
50.4622;30.4817;Лук'янівська
50.4461;30.5155;Золоті ворота
50.4381;30.5208;Палац спорту
50.4369;30.5317;Кловська
50.4275;30.5389;Печерська
50.4181;30.5450;Дружби народів
50.4022;30.5608;Видубичі
50.3942;30.6042;Славутич
50.3956;30.6158;Осокорки
50.3981;30.6333;Позняки
50.4008;30.6522;Харківська
50.4030;30.6667;Вирлиця
50.4033;30.6828;Бориспільська
50.4089;30.6944;Червоний хутір
