region;tik;tikId;uik;address;center;city;lat;lon;distance;voters;totalVotes;Poroshenko;Zelenskiy;Tymoshenko
м.Київ;ТВО №212;212;ВД № 800145;вул.Вербицького Архітектора, 4Б, м.Київ, 02121;;;50.41335601;30.64820469;1424.5871906924567;2239;1571;373;422;227
м.Київ;ТВО №217;217;ВД № 800472;вул.Архипенка Олександра, 8Г, м.Київ, 04211;;;50.49397381;30.51490674;1428.669351645409;2099;1419;380;324;176
м.Київ;ТВО №214;214;ВД № 800445;бульв.Шамо Ігоря, 18/2, м.Київ, 02154;;;50.43910255;30.60233318;1429.5914083702748;1381;987;272;227;101
м.Київ;ТВО №212;212;ВД № 800089;вул.Урлівська, 19Б, м.Київ, 02095;;;50.40846237;30.61568497;1430.255500759182;2439;1749;541;546;139
м.Київ;ТВО №217;217;ВД № 800473;вул.Архипенка Олександра, 8Г, м.Київ, 04211;;;50.4941294;30.51512228;1431.9400741275058;2062;1359;378;365;175
м.Київ;ТВО №223;223;ВД № 801063;вул.Багговутівська, 1, м.Київ, 04107;;;50.47286336;30.47031283;1433.6937077505193;302;233;31;54;61
м.Київ;ТВО №214;214;ВД № 800448;вул.Ентузіастів, 7/4, м.Київ, 02154;;;50.43880475;30.5998548;1438.1088504491067;2064;1369;376;332;162
м.Київ;ТВО №212;212;ВД № 801074;вул.Урлівська, 19Б, м.Київ, 02095;;;50.40854096;30.61513453;1439.7438520460803;2309;1573;453;457;166
м.Київ;ТВО №217;217;ВД № 800521;просп.Героїв Сталінграда, 58Б, м.Київ, 04213;;;50.52627614;30.5180834;1439.906532585021;2141;1559;469;337;198
м.Київ;ТВО №216;216;ВД № 800436;вул.Тампере, 9, м.Київ, 02105;;;50.44246109;30.61260211;1442.5525013546587;2313;1514;392;465;193
м.Київ;ТВО №217;217;ВД № 800530;вул.Прирічна, 27Б, м.Київ, 04213;;;50.52246004;30.5190234;1443.841128126189;2070;1418;318;375;196
м.Київ;ТВО №216;216;ВД № 800170;Харківське шосе, 168І, м.Київ, 02091;;;50.41477293;30.65800974;1446.712130470327;2271;1601;372;430;210
м.Київ;ТВО №211;211;ВД № 800048;вул.Маршала Якубовського, 7Б, м.Київ, 03191;;;50.38107889;30.44989988;1449.7124425245922;2003;1407;354;401;204
м.Київ;ТВО №214;214;ВД № 800384;вул.Генерала Жмаченка, 26, м.Київ, 02192;;;50.4686449;30.61257053;1451.0128101071366;2286;1512;322;479;183
м.Київ;ТВО №218;218;ВД № 800797;вул.Рахманінова, 47, м.Київ, 03164;;;50.47603057;30.34510956;1451.723182082874;1999;1394;397;345;179
м.Київ;ТВО №217;217;ВД № 800474;вул.Архипенка Олександра, 8Г, м.Київ, 04211;;;50.49394455;30.51527486;1452.187632830172;2140;1488;403;318;222
м.Київ;ТВО №212;212;ВД № 800090;вул.Урлівська, 19Б, м.Київ, 02095;;;50.40869839;30.61560783;1456.540208990584;2395;1747;504;554;169
м.Київ;ТВО №214;214;ВД № 800449;вул.Ентузіастів, 7/4, м.Київ, 02154;;;50.43861387;30.59975624;1458.7624501745734;2274;1647;417;336;212
